{'algorithm': 'A* 1', 'sequence': '3-U-1', 'time': 0.014990568161010742, 'nodes': 1, 'memory': 1, 'depth': 1}
{'algorithm': 'A* 0', 'sequence': '3-U-1', 'time': 0.014990806579589844, 'nodes': 1, 'memory': 1, 'depth': 1}
{'algorithm': 'UCS', 'sequence': '3-U-1', 'time': 0.013990402221679688, 'nodes': 1, 'memory': 1, 'depth': 1}
{'algorithm': 'IDFS', 'sequence': '3-U-1', 'time': 0.013991594314575195, 'nodes': 47, 'memory': 2, 'depth': 1}
{'algorithm': 'BFS', 'sequence': '3-U-1', 'time': 0.015990018844604492, 'nodes': 1, 'memory': 1, 'depth': 1}
{'algorithm': 'A* 0', 'sequence': '1-L-2,3-B-3', 'time': 0.507685661315918, 'nodes': 2, 'memory': 54, 'depth': 2}
{'algorithm': 'UCS', 'sequence': '1-L-2,3-B-3', 'time': 16.8573055267334, 'nodes': 38, 'memory': 1962, 'depth': 2}
{'algorithm': 'IDFS', 'sequence': '1-L-2,3-B-3', 'time': 38.79900503158569, 'nodes': 2868, 'memory': 3, 'depth': 2}
{'algorithm': 'BFS', 'sequence': '1-L-2,3-B-3', 'time': 33.422330141067505, 'nodes': 53, 'memory': 2757, 'depth': 2}
{'algorithm': 'A* 0', 'sequence': '3-U-3,3-R-2,2-F-3', 'time': 73.07061123847961, 'nodes': 56, 'memory': 2916, 'depth': 3}
{'algorithm': 'A* 1', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 2}
{'algorithm': 'A* 1', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 3}
{'algorithm': 'IDFS', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 3}
{'algorithm': 'BFS', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 3}
{'algorithm': 'UCS', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 3}
{'algorithm': 'IDFS', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 4}
{'algorithm': 'UCS', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 4}
{'algorithm': 'A* 0', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 4}
{'algorithm': 'A* 1', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 4}
{'algorithm': 'BFS', 'sequence': -1, 'time': -1, 'nodes': -1, 'memory': -1, 'depth': 4}
